Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.27823171,0.2168145455,-133.0421408,-133.0421408,1.553673576,-0.1479837506,-0.158459322,37.39105397,35.48058262,-11.7991175,inf,-inf,0.3325514023,-2.033870971e-05,-13.4218581,0.2132588657,-132.2006582,-132.2006582,1.542132238,-0.1432521858,-0.1579815024,37.74281377,35.83079302,-11.86061816,inf,-inf,0.3310174617,-5.868877312e-06,-16.00903964,0.158324461,-173.1793814,-173.1793814,1.376212575,-0.1572039726,-0.01880281736,36.41944319,36.39238025,-1.40374574,inf,-inf,0.03857251796,-2.101775437e-05,-16.15666255,0.1556563607,-172.5242921,-172.5242921,1.368703816,-0.1543332991,-0.02025180022,36.63495651,36.60343578,-1.519383943,inf,-inf,0.04150932586,-1.141209919e-05,
8000,-15.60715694,0.1658220016,5.794792119,5.794792119,1.397569828,0.1649746329,0.01674236223,69.75002561,69.70871707,2.400174632,-8.28871684e-06,4.774995711e-05,0.03443148479,-2.033870971e-05,-18.59235485,0.1175932131,112.3306514,-247.6693486,1.266528352,-0.04467966635,0.108774497,45.77111325,44.69647451,9.860019019,-2.017680478e-06,0.0001961588457,0.2205994797,-5.868877312e-06,-21.65110442,0.08268843622,-39.38600693,-39.38600693,1.180284299,0.06390894703,-0.05246926695,56.80711336,56.49263988,-5.969067574,3.332910482e-06,-0.0001187508262,0.1056609779,-2.101775437e-05,-14.73540588,0.1833283823,179.3576467,-180.6423533,1.448964745,-0.1833168611,0.002055284432,34.50827585,34.50796368,0.1467805521,-0.0001355381732,2.920106302e-06,0.004253526909,-1.141209919e-05,
16000,-11.97942487,0.251784364,133.7339735,133.7339735,1.673026202,-0.1740612936,0.1819286454,35.59284061,33.17721294,12.88886514,-7.717656936e-07,0.0001282079123,0.3884854693,-2.033870971e-05,-28.4457352,0.03781927857,116.941944,-243.058056,1.078611591,-0.01713544004,0.03371460405,48.31720478,48.20742331,3.255244347,-3.0557411e-06,3.23805143e-05,0.06752579009,-5.868877312e-06,-28.37766036,0.03811684813,-73.67938833,-73.67938833,1.079254633,0.01071129068,-0.03658090162,51.08126373,50.94470512,-3.732629608,2.664926604e-06,-3.71291533e-05,0.07326825425,-2.101775437e-05,-4.04452545,0.6277312183,-53.15854992,-53.15854992,4.372462313,0.3763893479,-0.5023719153,91.48473455,47.24652713,-78.3404259,1.269738303e-07,-0.0007792666266,1.658120304,-1.141209919e-05,
24000,-8.103664292,0.3933840846,121.4890004,121.4890004,2.296979109,-0.2054782229,0.3354545244,34.46205719,26.99255674,21.42510832,-3.095179666e-07,0.0001420796623,0.793741346,-3.452784348e-06,-19.51192331,0.1057800662,-54.44229931,-54.44229931,1.236586241,0.06151349172,-0.08605528888,56.50303361,55.66608844,-9.689138507,6.844216292e-07,-6.425309532e-05,0.1740581883,3.000073105e-05,-21.59760337,0.0831993305,133.7683806,133.7683806,1.18149928,-0.05755270054,0.06008173813,44.57650912,44.25372128,5.354747236,-1.238425582e-06,3.550977048e-05,0.1210010612,-6.761130552e-06,-7.050423538,0.4440980059,-51.20948294,-51.20948294,2.597756477,0.2782162164,-0.3461484881,82.71496179,62.63957005,-54.01897044,1.227616133e-07,-0.0003582244236,0.8623777333,-4.672076859e-06,
32000,-6.6159045,0.4668794676,101.9881749,101.9881749,2.751496854,-0.09697544521,0.4566970553,42.58133057,27.69347782,32.34564884,-1.537638647e-07,0.0001608740594,1.167987966,8.500837426e-06,-20.44281701,0.09502965429,-144.3023495,-144.3023495,1.210017167,-0.07717429072,-0.05545055497,42.85600128,42.5901267,-4.76633536,1.04348343e-06,-2.370580728e-05,0.1119117441,3.254772208e-05,-20.34006786,0.09616047652,42.8990877,42.8990877,1.21278219,0.07044271648,0.06545732151,57.5431514,57.04728226,7.538027507,-6.598001887e-07,3.749107309e-05,0.1321364876,6.46526544e-06,-6.427457185,0.4771194716,-72.90649896,-72.90649896,2.824965535,0.1402406373,-0.4560433683,63.09232044,40.77218268,-48.14841656,1.032971035e-07,-0.0002394705781,1.180913392,7.144464164e-06,
40000,-6.864716731,0.453695178,71.38778605,71.38778605,2.660959815,0.1448019616,0.4299670993,63.87801901,43.33824544,46.92758033,-8.478752899e-08,0.0001867189094,1.082821417,7.240741317e-06,-14.83725631,0.1811912348,170.9422711,-189.0577289,1.442572778,-0.1789318203,0.0285248529,34.83336075,34.77291924,2.051123746,-1.939850575e-06,8.161162075e-06,0.05898623958,2.545322274e-05,-14.57712341,0.1866997901,-0.3149650005,-0.3149650005,1.459116542,0.1866969692,-0.00102631649,72.95536984,72.95520485,-0.1551585934,2.564391369e-05,-6.173564275e-07,0.002126765235,2.581512214e-05,-6.749316853,0.4597631476,-103.490472,-103.490472,2.702079914,-0.10725523,-0.4470776974,41.8067326,27.65347971,-31.35423339,1.269006813e-07,-0.0001247545308,1.133825968,6.78378727e-06,
48000,-13.82585974,0.2035668296,36.37252176,36.37252176,1.511196261,0.1639075938,0.1207218075,69.25917442,67.1614315,16.91671838,-1.960030253e-07,5.609123649e-05,0.2518814445,6.75154963e-06,-9.796230315,0.3237341274,75.5624609,-284.4375391,1.957416722,0.08071482706,0.313510609,57.92751683,47.44651063,33.2329029,-9.977244513e-08,0.000110191266,0.7004288083,2.383167077e-05,-9.914542318,0.3193543853,-99.73753789,-99.73753789,1.938386668,-0.05401404759,-0.3147534051,45.31675809,37.1074962,-26.01234879,1.274674581e-07,-8.624987275e-05,0.7009998373,2.42257879e-05,-13.47730988,0.2119017317,-129.8983394,-129.8983394,1.537754593,-0.135919576,-0.1625675637,38.31133106,36.26747008,-12.34620191,2.685625916e-07,-4.093664713e-05,0.3404208202,6.289681331e-06,
56000,-11.07633626,0.2793721994,50.03015197,50.03015197,1.775357818,0.1794643396,0.2141059939,70.67962899,64.10272182,29.77332716,-9.545633044e-08,8.461736052e-05,0.4644627609,6.052587736e-06,-10.50173633,0.2984785895,9.098887954,-350.901112,1.850946486,0.2947227964,0.0472010766,91.64418826,91.15597892,9.446943896,-3.008435941e-07,2.684871104e-05,0.1036349344,2.345431158e-05,-10.61531554,0.2946010042,-166.6510655,-166.6510655,1.835274805,-0.286641486,-0.0680177197,27.80862645,27.5051278,-4.097273495,6.936448248e-07,-1.16446666e-05,0.1489639868,2.381668564e-05,-10.59743232,0.2952081777,-120.4000994,-120.4000994,1.837717375,-0.1493857472,-0.2546208293,37.71098043,32.93308963,-18.37198008,1.546949508e-07,-5.221413294e-05,0.5578577743,5.702485182e-06,
64000,-10.96943374,0.2828318491,15.44467726,15.44467726,1.788746262,0.2726182365,0.07532032886,87.16639184,86.02089252,14.08495356,-1.765569177e-07,3.502640597e-05,0.1637387517,4.07909074e-06,-9.686690277,0.3278426761,-46.55671701,-406.556717,1.975493875,0.2254364892,-0.2380319508,77.02824512,67.96440149,-36.2517679,6.859792307e-08,-9.01507509e-05,0.5333934693,2.017382699e-05,-9.84301743,0.3219950004,137.2157922,-222.7842078,1.949830755,-0.2363176395,0.2187115761,31.63579056,28.4308218,13.87485554,-1.792304056e-07,3.450393506e-05,0.4880216139,2.077801366e-05,-10.94198353,0.2837271028,-155.0230964,-155.0230964,1.792231854,-0.2571923978,-0.1198045883,29.7891437,28.82648068,-7.511796986,3.310520759e-07,-1.868030659e-05,0.2605866831,3.585569907e-06,
72000,-15.9814056,0.1588289701,-5.305555109,-5.305555109,1.377637756,0.1581485051,-0.01468645862,68.7808608,68.74965547,-2.071638421,1.067022748e-06,-4.579326318e-06,0.03013307349,3.960680287e-06,-9.488212705,0.3354203168,-105.7402268,-465.7402268,2.009420917,-0.0909915742,-0.3228425659,42.39204529,34.2796489,-24.93975091,8.863301518e-08,-5.512895328e-05,0.7275381081,1.894307319e-05,-9.745686421,0.3256234542,78.24809671,-281.7519033,1.965702192,0.06632112051,0.3187979656,56.40339381,45.92048624,32.75136297,-6.749292611e-08,7.239640707e-05,0.7132189933,1.919194542e-05,-16.35180133,0.1521983463,-173.0438801,-173.0438801,1.359042344,-0.1510780439,-0.01843261451,36.87904579,36.85281104,-1.39080438,1.589357463e-06,-3.074352666e-06,0.03773943807,3.501506126e-06,
