Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,0.02111258436,-33.50054253,nan,0,-0.03304746147,-29.18798501,nan,0,
2.49500998e-07,0.008296090691,-41.37470556,nan,0,-0.01489422024,-35.147375,nan,0,
4.99001996e-07,1.615625259e-05,-63.2808194,nan,0,-0.0003955912243,-59.00346765,nan,0,
7.48502994e-07,-0.0001604392639,-75.89356467,nan,0,-0.0004540224327,-65.20288559,nan,0,
9.98003992e-07,-0.0002587212274,-60.88555747,nan,0,-0.0003848244196,-62.11392761,nan,0,
1.24750499e-06,-0.0008834016343,-61.07670172,nan,0,-0.0005723615939,-63.12709294,nan,0,
1.497005988e-06,-0.002473872101,-52.08923086,nan,0,-0.0001411095549,-67.8439423,nan,0,
1.746506986e-06,-0.001598454109,-54.50819842,nan,0,-0.0003076211427,-65.91743679,nan,0,
1.996007984e-06,-0.0003966642324,-63.33485753,nan,0,-5.505484208e-05,-72.83450379,nan,0,
2.245508982e-06,-1.201129165e-05,-75.86173393,nan,0,-0.0002473763314,-64.01765738,nan,0,
2.49500998e-06,-0.0003642494448,-65.1182554,nan,0,0.0004973618939,-63.34804537,nan,0,
2.744510978e-06,-0.000156617194,-65.84698204,nan,0,-0.0003149017671,-66.85762107,nan,0,
2.994011976e-06,-0.0008946695226,-60.78925569,nan,0,0.000575878509,-58.69363105,nan,0,
3.243512974e-06,-9.699297146e-05,-63.03208709,nan,0,-0.0002911835115,-64.00575237,nan,0,
3.493013972e-06,-0.0009067817908,-60.82079896,nan,0,0.0005262215796,-58.06839501,nan,0,
3.74251497e-06,0.0001750319642,-68.27970419,nan,0,-0.0003258715582,-69.56471983,nan,0,
3.992015968e-06,-0.0002874733597,-67.24976664,nan,0,0.0005212387011,-64.68969311,nan,0,
4.241516966e-06,0.00069610652,-63.07910746,nan,0,-0.0006716087038,-62.31446716,nan,0,
4.491017964e-06,-0.0001646149155,-69.99901816,nan,0,0.0004083679759,-67.77580047,nan,0,
4.740518962e-06,0.0007877397782,-61.92879549,nan,0,-0.0006091711102,-64.15381824,nan,0,
4.99001996e-06,-0.0005404374185,-64.9983754,nan,0,0.0004668147835,-66.26706409,nan,0,
5.239520958e-06,0.0003267402397,-68.7648407,nan,0,-0.0005242542271,-65.23635389,nan,0,
5.489021956e-06,-0.0008486892879,-60.91419503,nan,0,0.000430858387,-67.02298535,nan,0,
5.738522954e-06,0.0001000064939,-76.90204146,nan,0,-0.0005856203806,-64.39602317,nan,0,
5.988023952e-06,-0.0006798184081,-63.22318229,nan,0,0.0005154300867,-65.44206067,nan,0,
6.23752495e-06,0.0006266764855,-63.33292741,nan,0,-0.0004257986796,-64.55313573,nan,0,
6.487025948e-06,-0.00039326667,-67.97168264,nan,0,0.0003864574632,-67.99806061,nan,0,
6.736526946e-06,0.0004994371885,-65.59245291,nan,0,-0.0004875638951,-65.70079451,nan,0,
6.986027944e-06,-0.0005567460781,-64.68796207,nan,0,0.0004692013008,-65.03010035,nan,0,
7.235528942e-06,0.0004029497064,-66.39314624,nan,0,-0.0003054553749,-68.64636691,nan,0,
7.48502994e-06,-0.000463188249,-65.54276407,nan,0,0.0004756248905,-65.56711833,nan,0,
7.734530938e-06,0.0004373680884,-66.01410831,nan,0,-0.0003863140014,-66.33656397,nan,0,
7.984031936e-06,-0.0003314117629,-68.42380028,nan,0,0.0002783611121,-68.28209769,nan,0,
8.233532934e-06,0.0005113342419,-63.33020696,nan,0,-0.0002734772257,-67.29559072,nan,0,
8.483033932e-06,-0.0002731472584,-68.719601,nan,0,0.0003336791673,-67.84563463,nan,0,
8.73253493e-06,0.0003567675103,-64.85819327,nan,0,-0.0001991334446,-66.58590648,nan,0,
8.982035928e-06,-0.0002638094955,-68.05538532,nan,0,0.0002307469793,-68.30895741,nan,0,
9.231536926e-06,0.0003194109888,-66.04982067,nan,0,-0.00026866922,-67.39460019,nan,0,
9.481037924e-06,-0.0002178713023,-67.27691868,nan,0,0.0001021983029,-68.36357223,nan,0,
9.730538922e-06,0.0002926209153,-65.60456358,nan,0,-0.0002165570894,-67.53859453,nan,0,
9.98003992e-06,-0.0002013939397,-67.9180013,nan,0,0.0001342820254,-69.05146351,nan,0,
1.022954092e-05,0.0001638940852,-65.49001866,nan,0,-2.929483003e-05,-72.02548088,nan,0,
1.047904192e-05,-0.0001733161514,-68.16856944,nan,0,0.0002058977351,-64.9383494,nan,0,
1.072854291e-05,0.0001198389771,-66.75484775,nan,0,-5.138088506e-06,-69.07196448,nan,0,
1.097804391e-05,-9.055185163e-05,-67.9948554,nan,0,-4.987835638e-06,-70.27362765,nan,0,
1.122754491e-05,0.000100761055,-67.49776365,nan,0,-4.969920913e-05,-69.32272308,nan,0,
1.147704591e-05,-4.814092445e-05,-67.85947086,nan,0,-2.447506875e-05,-69.52182368,nan,0,
1.172654691e-05,8.929975805e-05,-67.71438723,nan,0,2.213103939e-05,-69.54808276,nan,0,
1.19760479e-05,6.371006885e-06,-67.3898904,nan,0,-7.1998241e-05,-69.72178774,nan,0,
1.22255489e-05,-1.922728612e-05,-68.86746544,nan,0,7.152894657e-05,-70.38354914,nan,0,
1.24750499e-05,1.936144749e-05,-68.32898571,nan,0,-9.928503826e-05,-70.67824565,nan,0,
1.27245509e-05,-6.625460378e-06,-68.3931605,nan,0,7.575606119e-05,-71.04828502,nan,0,
1.29740519e-05,7.404926854e-05,-69.04633548,nan,0,-0.0001180510303,-70.11976061,nan,0,
1.322355289e-05,-6.228703362e-05,-68.24947926,nan,0,0.0001601433723,-70.42424117,nan,0,
1.347305389e-05,0.0001174838221,-69.76382603,nan,0,-0.0001376759297,-71.73235078,nan,0,
1.372255489e-05,-6.935573476e-05,-69.36717828,nan,0,0.0001508617869,-71.66836313,nan,0,
1.397205589e-05,0.000112264021,-69.4211844,nan,0,-0.0001528451469,-71.11355503,nan,0,
1.422155689e-05,-0.0001345375303,-69.35554514,nan,0,0.0001992974392,-71.77655108,nan,0,
1.447105788e-05,0.0001344316296,-70.39186548,nan,0,-0.000149876817,-72.60151711,nan,0,
1.472055888e-05,-0.0001238981346,-70.36935408,nan,0,0.0001844594712,-72.27066012,nan,0,
1.497005988e-05,0.0001590194171,-69.87170778,nan,0,-0.000196620186,-71.75121244,nan,0,
1.521956088e-05,-0.0001693724087,-70.59407689,nan,0,0.0002021670747,-72.17029874,nan,0,
1.546906188e-05,0.000169094221,-71.00368389,nan,0,-0.0002133667407,-72.44478126,nan,0,
1.571856287e-05,-0.0001579208038,-71.55237242,nan,0,0.0001952132923,-73.23817685,nan,0,
1.596806387e-05,0.0001692592351,-71.17444126,nan,0,-0.0002155808249,-72.52082142,nan,0,
1.621756487e-05,-0.0001792866153,-71.55562001,nan,0,0.0002113581229,-73.10068946,nan,0,
1.646706587e-05,0.0001840768955,-71.4579392,nan,0,-0.0002057121668,-73.4132629,nan,0,
1.671656687e-05,-0.0001936901878,-71.9431082,nan,0,0.0002126880217,-73.3064914,nan,0,
1.696606786e-05,0.0001831776715,-72.74736071,nan,0,-0.0001888596601,-74.40794376,nan,0,
1.721556886e-05,-0.0001643424281,-72.06845936,nan,0,0.0002061608743,-73.63992524,nan,0,
1.746506986e-05,0.0002147800491,-72.09813459,nan,0,-0.0001884598095,-74.47903519,nan,0,
1.771457086e-05,-0.0001934371151,-73.00921684,nan,0,0.000205468016,-73.7450597,nan,0,
1.796407186e-05,0.000191019884,-73.18613994,nan,0,-0.0001948045448,-74.19581939,nan,0,
1.821357285e-05,-0.0001772262561,-74.14980963,nan,0,0.0001976159044,-73.99436871,nan,0,
1.846307385e-05,0.0001790536443,-73.92003634,nan,0,-0.0001915771949,-74.12710802,nan,0,
1.871257485e-05,-0.0001811316694,-74.18421009,nan,0,0.0001800296691,-74.39428558,nan,0,
1.896207585e-05,0.0001613281996,-75.18769637,nan,0,-0.0001565031696,-75.54117765,nan,0,
1.921157685e-05,-0.0001734174628,-74.58495961,nan,0,0.0001664048199,-74.88592445,nan,0,
1.946107784e-05,0.0001680389482,-75.11325005,nan,0,-0.0001485800021,-75.77777441,nan,0,
1.971057884e-05,-0.0001611715605,-75.582899,nan,0,0.0001548333818,-75.32177513,nan,0,
1.996007984e-05,0.0001563482717,-75.83051264,nan,0,-0.0001508372302,-75.16380075,nan,0,
2.020958084e-05,-0.0001606771221,-75.67778946,nan,0,0.0001444065356,-75.34445914,nan,0,
2.045908184e-05,0.0001553082377,-76.1417633,nan,0,-0.0001304869206,-75.53068559,nan,0,
2.070858283e-05,-0.0001374223252,-77.1776331,nan,0,0.0001312446976,-75.70917014,nan,0,
2.095808383e-05,0.000141117714,-76.95758192,nan,0,-0.0001279888125,-75.16198806,nan,0,
2.120758483e-05,-0.0001427158933,-76.91027871,nan,0,0.0001094716683,-75.68470131,nan,0,
2.145708583e-05,0.0001168226943,-78.64750917,nan,0,-9.589017129e-05,-76.34461226,nan,0,
2.170658683e-05,-0.0001239512164,-78.13305388,nan,0,0.0001098860764,-75.86588788,nan,0,
2.195608782e-05,0.0001214840456,-78.307375,nan,0,-8.876580621e-05,-75.36873241,nan,0,
2.220558882e-05,-0.0001174176191,-78.55026381,nan,0,6.764842009e-05,-77.30897264,nan,0,
2.245508982e-05,0.0001067613147,-79.3591887,nan,0,-8.468316803e-05,-76.30812043,nan,0,
2.270459082e-05,-0.0001061141206,-79.40587519,nan,0,7.350082529e-05,-76.37390653,nan,0,
2.295409182e-05,0.0001022271656,-79.62134033,nan,0,-6.70007963e-05,-76.35015146,nan,0,
2.320359281e-05,-9.204932878e-05,-80.47043555,nan,0,6.440737664e-05,-76.26499607,nan,0,
2.345309381e-05,9.257822059e-05,-80.4174054,nan,0,-5.376212173e-05,-76.07537143,nan,0,
2.370259481e-05,-8.684383221e-05,-80.7213038,nan,0,4.127996778e-05,-76.28400396,nan,0,
2.395209581e-05,7.565890638e-05,-81.81195316,nan,0,-2.896627441e-05,-76.45669807,nan,0,
2.420159681e-05,-7.733410245e-05,-81.67164035,nan,0,2.86246754e-05,-77.31975242,nan,0,
2.44510978e-05,6.409143735e-05,-82.98291252,nan,0,-2.373769536e-05,-76.56461037,nan,0,
2.47005988e-05,-6.610424078e-05,-82.98279305,nan,0,1.320917911e-05,-77.50767429,nan,0,
2.49500998e-05,6.04580785e-05,-83.56395713,nan,0,-1.889623765e-05,-76.99571003,nan,0,
2.51996008e-05,-6.385514327e-05,-83.29429128,nan,0,8.591942611e-06,-77.1088753,nan,0,
2.54491018e-05,5.98228257e-05,-83.3138633,nan,0,-2.438088709e-07,-77.2028239,nan,0,
2.569860279e-05,-4.99407612e-05,-84.4047489,nan,0,6.593581737e-06,-77.59471267,nan,0,
2.594810379e-05,4.542282822e-05,-85.37689494,nan,0,4.955390975e-06,-76.64015836,nan,0,
2.619760479e-05,-4.464014821e-05,-85.72621502,nan,0,-1.398374352e-05,-77.71742274,nan,0,
2.644710579e-05,4.394083538e-05,-85.90585829,nan,0,1.16824639e-05,-77.32219587,nan,0,
2.669660679e-05,-4.109321201e-05,-86.29254038,nan,0,-1.502713517e-05,-77.39574767,nan,0,
2.694610778e-05,3.951691728e-05,-86.54363455,nan,0,2.767057609e-05,-77.07718864,nan,0,
2.719560878e-05,-3.359946245e-05,-87.22663082,nan,0,-3.571404741e-05,-77.80048124,nan,0,
2.744510978e-05,4.575594441e-06,-93.07461768,nan,0,6.031018748e-05,-76.7763478,nan,0,
2.769461078e-05,-2.282088312e-05,-81.15433022,nan,0,-4.478818845e-05,-86.94190444,nan,0,
2.794411178e-05,0.0001761795597,-74.97304777,nan,0,-0.0001171827482,-77.02657063,nan,0,
2.819361277e-05,-0.0001545802424,-74.6854792,nan,0,8.654064636e-05,-72.95339428,nan,0,
2.844311377e-05,8.065913533e-05,-75.70753654,nan,0,-4.369844976e-06,-71.91666209,nan,0,
2.869261477e-05,-2.352067432e-05,-76.95785692,nan,0,-6.588827711e-05,-72.02282373,nan,0,
2.894211577e-05,-1.595001169e-05,-78.15379854,nan,0,0.0001058325112,-72.41410837,nan,0,
2.919161677e-05,3.894221858e-05,-79.73128669,nan,0,-0.0001255893589,-73.05803431,nan,0,
2.944111776e-05,-4.97723879e-05,-80.97354483,nan,0,0.0001429780544,-73.40598194,nan,0,
2.969061876e-05,5.560816833e-05,-82.34057365,nan,0,-0.0001442239804,-74.50143359,nan,0,
2.994011976e-05,-5.34036631e-05,-83.87595467,nan,0,0.0001344691804,-75.25334209,nan,0,
3.018962076e-05,5.000769714e-05,-85.29344292,nan,0,-0.00012952234,-75.99102001,nan,0,
3.043912176e-05,-4.431828468e-05,-86.73517279,nan,0,0.0001247512876,-76.47088306,nan,0,
3.068862275e-05,4.081995478e-05,-87.77206832,nan,0,-0.0001103088369,-77.70138853,nan,0,
3.093812375e-05,-3.185969863e-05,-89.89327984,nan,0,0.000104754486,-77.83934474,nan,0,
3.118762475e-05,2.170433913e-05,-92.89103435,nan,0,-0.0001027955491,-78.18291064,nan,0,
3.143712575e-05,-1.568337181e-05,-95.68562324,nan,0,9.412210976e-05,-78.7076458,nan,0,
3.168662675e-05,1.018743314e-05,-99.07926488,nan,0,-8.540823694e-05,-79.20556704,nan,0,
3.193612774e-05,-3.4085048e-06,-109.258247,nan,0,8.909575522e-05,-78.55921416,nan,0,
3.218562874e-05,2.339948757e-06,-100.8595681,nan,0,-9.040186353e-05,-78.79025781,nan,0,
