Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.38050307,0.2142766493,-137.2261232,-137.2261232,1.545425178,-0.1572875396,-0.1455167081,36.6591072,35.06405137,-10.69590772,inf,-inf,0.3050391299,-1.950937175e-05,-13.52287349,0.2107930683,-136.3919455,-136.3919455,1.534189602,-0.1526299717,-0.1453884775,37.00204058,35.39937653,-10.7719612,inf,-inf,0.3042980486,5.44710955e-06,-16.54917737,0.1487788275,-163.4179467,-163.4179467,1.349565618,-0.1425914156,-0.04245971863,37.54041597,37.39965649,-3.247849382,inf,-inf,0.08684169018,1.425261427e-05,-16.64602062,0.1471292323,-162.7474404,-162.7474404,1.345021163,-0.140509402,-0.04363621136,37.70106515,37.55195606,-3.34976253,inf,-inf,0.08920340991,-1.003316416e-05,
8000,-16.02459495,0.1580411759,23.4155771,23.4155771,1.375413076,0.1450259506,0.06280515042,66.8830565,66.33485309,8.545789142,-2.327973176e-06,0.0001700130731,0.1288280405,-1.950937175e-05,-28.97227387,0.03559477947,84.77828294,84.77828294,1.073817061,0.003239482585,0.03544706022,50.32459192,50.19828287,3.563277743,-5.583165086e-06,7.08891583e-05,0.07098405641,5.44710955e-06,-31.62829093,0.02621714847,-144.5871142,-144.5871142,1.053845985,-0.02136691033,-0.01519190629,47.90848119,47.88635212,-1.455970693,1.366398924e-05,-2.896561661e-05,0.03040471092,1.425261427e-05,-14.87223636,0.1804630038,-160.0564615,-160.0564615,1.440402336,-0.1696404939,-0.06155484202,35.54456567,35.26021783,-4.487002003,4.433777358e-06,-8.926606856e-05,0.1272539502,-1.003316416e-05,
16000,4.951766852,1.768431909,-87.42027774,-87.42027774,nan,0.07959612335,-1.766639713,51.96717255,-26.80526821,-44.52038431,2.234298759e-07,-0.0004428524519,-1.660881882,-1.950937175e-05,-19.03203795,0.1117887506,-0.2321303704,-0.2321303704,1.251716584,0.1117878332,-0.000452904094,62.58570995,62.58568362,-0.05740803711,0.0001732716261,-5.710483049e-07,0.000917271072,5.44710955e-06,-20.47883326,0.09463642736,-137.5631807,-137.5631807,1.20905729,-0.06984375298,-0.063858465,43.49650342,43.13975117,-5.559467468,1.789233232e-06,-5.530104553e-05,0.1288711065,1.425261427e-05,1.185765987,1.146273624,53.26982062,53.26982062,nan,0.6855259411,0.9186933141,98.84566752,-16.64790036,97.43363588,-1.02091889e-07,0.0009691902984,-5.852608063,-1.003316416e-05,
24000,-7.802245704,0.4072749648,120.4965969,120.4965969,2.374245866,-0.2066868255,0.3509322628,34.51422061,26.40902094,22.22149944,-2.984252246e-07,0.0001473608949,0.8414359431,-9.424922034e-06,-20.65102822,0.09277876539,-55.31317763,-55.31317763,1.204533937,0.05279950665,-0.07628965463,55.54013315,54.89381755,-8.4483836,7.849378385e-07,-5.60250838e-05,0.1539041003,2.450335515e-05,-22.43290653,0.07557091373,124.5575168,-235.4424832,1.163497482,-0.0428663355,0.06223696879,45.90480408,45.54926182,5.702261376,-1.162951946e-06,3.78142952e-05,0.1251888867,2.194556378e-05,-6.906340141,0.4515262389,-50.2714077,-50.2714077,2.646482552,0.2885937592,-0.3472601137,84.29151597,63.51833085,-55.4119239,1.19675613e-07,-0.0003674617331,0.8723768897,6.340437585e-07,
32000,-6.836598805,0.4551662579,95.16832,95.16832,2.6708446,-0.04100225118,0.4533157153,46.71135969,30.74912621,35.16308237,-1.41443572e-07,0.0001748868242,1.143547369,-7.166016344e-06,-20.41041401,0.09538482771,-144.7845927,-144.7845927,1.210884873,-0.07792843717,-0.05500385475,42.7908941,42.52960912,-4.721542734,1.053382814e-06,-2.348302703e-05,0.1110177787,2.518516764e-05,-21.27307246,0.08636671019,36.77209236,-323.2279076,1.189062091,0.06918172549,0.05170200661,57.41097105,57.10192362,5.948942468,-8.360464063e-07,2.95876125e-05,0.1041811219,2.748330387e-05,-5.884489507,0.5078968562,-73.16240332,-73.16240332,3.064188627,0.1471173598,-0.4861231315,63.45510197,38.49859507,-50.44212667,9.859996593e-08,-0.0002508785563,1.310232921,1.395418954e-05,
40000,-6.996645504,0.446856135,67.84015552,67.84015552,2.615695891,0.1685504705,0.4138491805,66.73850705,46.39106469,47.97809334,-8.293104832e-08,0.0001908987679,1.034209791,7.239800138e-06,-14.92279051,0.1794157126,164.2062,-195.7938,1.437287712,-0.1726423122,0.04883267322,35.30828781,35.12986687,3.545086961,-1.122362758e-06,1.410545284e-05,0.1009137602,2.608666389e-05,-14.65545228,0.1850237104,-7.770869119,-367.7708691,1.454059125,0.1833245848,-0.02501739433,72.42988105,72.33287145,-3.747449265,1.061755156e-06,-1.491062686e-05,0.05180838518,2.564039733e-05,-7.12400945,0.4403515481,-105.9705796,-105.9705796,2.573671996,-0.1211599669,-0.4233553452,40.69892401,28.06273507,-29.47686069,1.349829488e-07,-0.0001172847021,1.050391582,6.710308251e-06,
48000,-13.15284539,0.2199671006,42.0985783,42.0985783,1.563994418,0.1632139337,0.1474677497,68.99792301,65.90514444,20.42609398,-1.623280488e-07,6.772737135e-05,0.3099317079,6.904026491e-06,-10.77447334,0.2892519749,67.34176684,-292.6582332,1.813936767,0.1114295328,0.2669272639,61.59932288,53.22520695,31.00893297,-1.069281547e-07,0.0001028171867,0.582598636,2.43357543e-05,-10.76189527,0.2896711453,-107.1585634,-467.1585634,1.815597292,-0.0854579444,-0.2767784532,42.64933037,36.50271699,-22.05713112,1.503245351e-07,-7.313544683e-05,0.6042599822,2.435566339e-05,-12.99950957,0.2238847545,-119.8209227,-119.8209227,1.576936881,-0.111335831,-0.1942388119,40.31458467,37.31452577,-15.26079631,2.172709677e-07,-5.060064933e-05,0.4089773618,6.434525569e-06,
56000,-10.69529971,0.2919006179,42.77834575,42.77834575,1.824462287,0.2142511417,0.1982483771,75.91128909,69.65044105,30.18840627,-9.414384218e-08,8.579703716e-05,0.4334273525,6.326489307e-06,-11.16986727,0.2763800152,2.975682623,-357.0243174,1.763881653,0.2760073602,0.0143474711,88.11122177,88.06872884,2.736128779,-1.038713008e-06,7.776221787e-06,0.03106810799,2.361355892e-05,-11.26266787,0.2734428719,-172.6988769,-532.6988769,1.752708524,-0.2712257839,-0.03475022781,28.68608421,28.60549351,-2.148759757,1.322647888e-06,-6.106888157e-06,0.07511703149,2.398207348e-05,-10.19187259,0.3093188382,-123.5705868,-123.5705868,1.895692124,-0.1710421482,-0.2577260702,36.19887798,31.44893173,-17.92549749,1.585480434e-07,-5.094520596e-05,0.5699874848,5.435045006e-06,
64000,-11.24745275,0.2739222829,8.281243403,8.281243403,1.754526069,0.2710660934,0.03945364487,87.10115033,86.78593052,7.403556724,-3.35892069e-07,1.841113514e-05,0.08530825998,4.411352236e-06,-10.25270508,0.3071600617,-54.60419592,-414.6041959,1.886669618,0.1779137045,-0.2503877338,70.06466806,61.31538929,-33.90399307,7.334817409e-08,-8.431231386e-05,0.5529442683,2.003296423e-05,-10.37679816,0.302802943,128.5145434,-591.4854566,1.868629436,-0.1885594098,0.2369281986,34.87466607,30.91997404,16.13063977,-1.541659861e-07,4.011361023e-05,0.5216899519,2.063499688e-05,-11.37171124,0.2700315057,-157.0195679,-157.0195679,1.739844275,-0.2486013313,-0.1054248176,30.27660355,29.52268543,-6.714444712,3.703650998e-07,-1.669745416e-05,0.2274333996,3.631347159e-06,
72000,-16.26683181,0.1536945293,-6.352623053,-6.352623053,1.363212893,0.1527508067,-0.01700586374,68.02273067,67.98149715,-2.368107613,9.334395568e-07,-5.234667116e-06,0.03483459047,3.851807442e-06,-10.26346274,0.3067798729,-114.8560671,-474.8560671,1.885086456,-0.1289519107,-0.2783618061,39.32208251,33.50126635,-20.58862126,1.073644171e-07,-4.551084508e-05,0.6145624779,1.907448011e-05,-10.49781952,0.2986132155,69.05071928,-650.9492807,1.851493704,0.1067665831,0.2788740741,60.98608289,52.00959267,31.84814872,-6.940702708e-08,7.039986524e-05,0.6123514354,1.930963608e-05,-16.78922125,0.1447234602,-165.6359051,-165.6359051,1.33842495,-0.1401992334,-0.03590341038,37.71813388,37.61709477,-2.758949855,8.012053269e-07,-6.098618156e-06,0.07334298068,3.047892947e-06,
80000,-16.02559436,0.1580229926,3.140590508,3.140590508,1.375361776,0.1577856592,0.008657479388,68.73291066,68.72207538,1.220394703,-1.630158492e-06,2.427898119e-06,0.01775840873,2.298407022e-06,-10.46477509,0.2997514176,-162.2170432,-522.2170432,1.856128595,-0.2854293796,-0.09154770143,27.95139855,27.40241426,-5.51256508,3.608913019e-07,-1.096689977e-05,0.2011707811,1.830637525e-05,-9.880912219,0.320593261,14.82268332,-705.1773167,1.943744719,0.3099246169,0.08201689372,94.43292921,92.89322106,16.98315635,-1.171417578e-07,3.378691603e-05,0.1828244963,1.823577641e-05,-16.16683585,0.1554741559,-151.0796627,-151.0796627,1.368192772,-0.1360854293,-0.07518622934,38.08196419,37.63771366,-5.799871267,3.430139562e-07,-1.153847727e-05,0.1540973322,1.830300327e-06,
88000,-16.68145336,0.146530264,-10.11735496,-10.11735496,1.343375419,0.1442517208,-0.02574022788,66.84347563,66.75116194,-3.511782128,5.150031616e-07,-6.351335054e-06,0.05261005241,1.437041223e-06,-11.03185077,0.2808066973,142.1095926,-577.8904074,1.780893527,-0.2216089723,0.1724582982,32.3114433,30.25969205,11.33050773,-1.596202873e-07,2.049211719e-05,0.3744422684,1.741289491e-05,-11.41086143,0.2688171229,-33.91170649,-753.9117065,1.735293813,0.2230908763,-0.1499770198,77.86714045,74.0908535,-23.95489489,7.549934606e-08,-4.332431741e-05,0.3233178423,1.71322714e-05,-16.22570698,0.1544239478,-170.4301979,-170.4301979,1.36525147,-0.1522749527,-0.02567283493,36.79257603,36.74178327,-1.932618147,9.358180257e-07,-3.4952924e-06,0.05260000944,1.257437837e-06,
