Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.45486916,0.2124499053,-135.8870652,-135.8870652,1.539520995,-0.1525324831,-0.1478810464,37.01752366,35.3601351,-10.95252957,inf,-inf,0.3097422997,8.892719444e-06,-13.63094516,0.2081865853,-135.0763088,-135.0763088,1.525847583,-0.147406076,-0.1470139553,37.39568118,35.74545546,-10.98632718,inf,-inf,0.3073489213,3.805390277e-06,-16.70101591,0.1462006167,-162.7493552,-162.7493552,1.342470654,-0.1396240169,-0.04335613248,37.76881356,37.62141835,-3.33349049,inf,-inf,0.0886061886,1.59918891e-05,-16.76407244,0.1451430945,-161.8896113,-161.8896113,1.339572842,-0.1379526163,-0.04511755224,37.89918645,37.73919832,-3.478684267,inf,-inf,0.09217695187,-9.030242577e-06,
8000,-16.76876889,0.1450646369,133.3024287,-226.6975713,1.339358139,-0.09949246543,0.1055698735,41.04274794,40.12021469,8.653064908,-2.299112291e-06,0.0001721472566,0.2156784298,8.892719444e-06,-22.73053645,0.07302527107,30.30436086,30.30436086,1.157556121,0.06304688975,0.03684806518,56.71915106,56.56410889,4.19090474,-4.747034142e-06,8.337540067e-05,0.07409123597,3.805390277e-06,-19.6093509,0.1046001856,-80.58788457,-80.58788457,1.23363906,0.01710574673,-0.1031920164,51.72168656,50.63114164,-10.56505355,1.883035215e-06,-0.0002101850621,0.2086671011,1.59918891e-05,-10.59434773,0.2953130326,-128.2588626,-128.2588626,1.838139617,-0.1828623825,-0.2318860416,35.23389358,31.41195216,-15.95984081,1.246526712e-06,-0.0003175109445,0.5080817879,-9.030242577e-06,
16000,-13.38111811,0.2142614771,157.9518224,-202.0481776,1.545376028,-0.1985922217,0.08043077818,33.52376277,33.05720422,5.57350152,-1.78472795e-06,5.544064483e-05,0.1686017209,8.892719444e-06,-34.93706904,0.01791210177,77.30749375,77.30749375,1.036477594,0.003935622133,0.01747438892,50.39499615,50.36422794,1.760733133,-5.649455761e-06,1.751433635e-05,0.03495999453,3.805390277e-06,-34.88427114,0.01802131356,-137.48375,-137.48375,1.036704083,-0.01328325249,-0.01217879081,48.68927982,48.67483339,-1.185986397,8.387266472e-06,-1.179722485e-05,0.02436549474,1.59918891e-05,-14.69584262,0.1841653273,-24.27239694,-24.27239694,1.451477079,0.1678853746,-0.07570580416,70.03378605,69.18917877,-10.84383371,9.173124753e-07,-0.0001078656086,0.1567273077,-9.030242577e-06,
24000,-6.827123019,0.4556630881,123.2574171,-236.7425829,2.674195073,-0.2498863141,0.3810323869,32.19398257,23.20400797,22.31650797,-2.971547328e-07,0.0001479909398,0.961752297,7.247326105e-06,-23.81606529,0.06444611404,-61.56394929,-61.56394929,1.137771036,0.03068779546,-0.0566706346,53.15547047,52.81450161,-6.011028257,1.103214904e-06,-3.986186918e-05,0.1138139729,2.443002702e-05,-22.09068228,0.07860784419,133.2154313,-226.7845687,1.170628421,-0.05382620344,0.05728815752,44.90821065,44.61270477,5.143341015,-1.289328462e-06,3.410783944e-05,0.1152887062,2.715770411e-05,-6.75891455,0.459255401,-49.89317415,-49.89317415,2.698603747,0.2958591047,-0.3512590405,85.31182241,63.71833815,-56.7281273,1.16898905e-07,-0.000376190078,0.8902951482,8.567276942e-07,
32000,-6.29905211,0.4842252082,101.0802806,-258.9197194,2.877661397,-0.09306044608,0.4751987012,42.95252272,26.94385021,33.45068227,-1.486843207e-07,0.0001663700448,1.241496,1.015849995e-05,-20.20286474,0.09769149658,-143.9397737,-143.9397737,1.216536797,-0.07897367875,-0.05750466563,42.70316965,42.41815926,-4.925491188,1.009765683e-06,-2.449738343e-05,0.1161175137,3.081909817e-05,-20.37503734,0.09577411177,40.06578379,-319.9342162,1.211836695,0.07329649527,0.0616466079,57.87690323,57.43395834,7.14677248,-6.959214087e-07,3.554513023e-05,0.1244346148,2.834096903e-05,-6.095838459,0.4956876254,-71.03696246,-71.03696246,2.965796004,0.1610777174,-0.4687858689,65.14685917,40.83661606,-50.75907849,9.798428419e-08,-0.0002524549452,1.242979546,8.900237374e-06,
40000,-7.388254615,0.4271567458,57.37670374,-302.6232963,2.491356467,0.2302858737,0.3597656207,75.43232746,56.62468144,49.83654761,-7.983846731e-08,0.0001982933225,0.8801205824,7.288404737e-06,-15.37860549,0.170243181,149.1356056,-210.8643944,1.410344759,-0.1461340009,0.08733610053,37.33593755,36.74613864,6.610107963,-6.019377595e-07,2.630078392e-05,0.1798857841,2.566280185e-05,-15.17248095,0.1743315343,-20.43359058,-380.4335906,1.422279744,0.1633621535,-0.06086288401,69.43761724,68.89681288,-8.649385109,4.600180853e-07,-3.441480987e-05,0.1255411498,2.644982182e-05,-7.428541993,0.4251800712,-117.2134587,-117.2134587,2.479350489,-0.1944377535,-0.3781164543,35.51435853,26.09562731,-24.08916555,1.651727441e-07,-9.584774432e-05,0.9231111889,6.704603694e-06,
48000,-13.57935331,0.2094268373,44.60977978,-315.3902202,1.529810136,0.1490922609,0.1470751438,67.07776554,64.11240147,19.72375745,-1.681083328e-07,6.539861447e-05,0.3076434044,6.50038669e-06,-10.51305738,0.2980898106,68.16270264,-291.8372974,1.849367384,0.1108811124,0.2767000435,61.47166004,52.53992577,31.9111452,-1.039050138e-07,0.0001058086771,0.6073694383,2.392718843e-05,-10.58211274,0.2957293051,-108.7691931,-468.7691931,1.839817154,-0.09515287118,-0.2800031304,41.89649039,35.70870355,-21.91356652,1.513093717e-07,-7.265942568e-05,0.6136757805,2.410323547e-05,-13.39319533,0.2139637661,-118.7756729,-118.7756729,1.544411967,-0.1029982117,-0.1875416263,40.95343657,38.1145991,-14.98203264,2.213136268e-07,-4.967634485e-05,0.393078584,6.183904201e-06,
56000,-10.66316788,0.2929824499,46.5396393,-313.4603607,1.828784094,0.2015287313,0.2126614361,73.83485353,66.94393553,31.14634958,-9.124833546e-08,8.851956242e-05,0.4652602112,5.141630368e-06,-11.08327791,0.2791490179,2.840465846,-357.1595342,1.774498544,0.278806052,0.01383327889,88.6478373,88.60796034,2.65865039,-1.068983183e-06,7.556024134e-06,0.03000464495,2.258575023e-05,-11.17605188,0.2761832945,-173.2445144,-533.2445144,1.763130479,-0.2742658089,-0.03248812445,28.49582121,28.4255837,-1.999504425,1.421378478e-06,-5.68269666e-06,0.07034171913,2.297153715e-05,-10.47009089,0.2995680244,-122.5701122,-122.5701122,1.855380779,-0.1612668301,-0.252455958,36.85248648,32.22669866,-17.87583994,1.589884763e-07,-5.080407657e-05,0.5546903866,4.717344637e-06,
64000,-11.33352397,0.2712213053,12.89324445,-347.1067556,1.744317328,0.2643831408,0.06051901575,85.74902183,85.02643092,11.10859084,-2.238624163e-07,2.76247991e-05,0.1306486785,3.635540936e-06,-10.20773893,0.3087543276,-55.34371732,-415.3437173,1.893327336,0.1755737822,-0.2539745692,69.7085832,60.78292446,-34.12803342,7.286666521e-08,-8.486945652e-05,0.5614740279,2.023129289e-05,-10.39280126,0.3022455651,129.3846549,-590.6153451,1.866337926,-0.1917819243,0.2336066676,34.63682602,30.8033636,15.8386397,-1.570081796e-07,3.938746562e-05,0.5141853956,1.998812425e-05,-11.64983496,0.2615220139,-157.4068562,-157.4068562,1.708273012,-0.2414518199,-0.1004727945,30.71724477,30.02668071,-6.476694555,3.839606708e-07,-1.610621802e-05,0.215697986,3.694157693e-06,
72000,-16.40417285,0.1512834282,-0.8045058941,-360.8045059,1.356499291,0.1512685151,-0.002124142676,67.82279729,67.82215626,-0.2948766185,7.496305852e-06,-6.518204366e-07,0.004347791853,3.330632087e-06,-10.18052878,0.3097230739,-114.3459878,-474.3459878,1.897387881,-0.1276820218,-0.2821802329,39.43490633,33.45210852,-20.8822478,1.058547596e-07,-4.615990222e-05,0.6242430963,1.908251294e-05,-10.42427977,0.3011521801,69.69935041,-650.3006496,1.861853386,0.1044836301,0.2824461128,60.7041236,51.56409182,32.03334288,-6.900576468e-08,7.080923421e-05,0.6212335319,1.899747341e-05,-17.08964186,0.1398034559,-165.8276298,-165.8276298,1.325050029,-0.1355483325,-0.03422945874,38.07571592,37.98323794,-2.652127194,8.334763602e-07,-5.862488232e-06,0.06982362059,3.155100926e-06,
