Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,0.02140139346,-33.00902096,nan,0,-0.03244792524,-28.94892281,nan,0,
2.49500998e-07,0.008510442395,-40.18858084,nan,0,-0.01410518209,-34.17595276,nan,0,
4.99001996e-07,0.0003170687985,-57.77437875,nan,0,-8.906937623e-05,-53.73073369,nan,0,
7.48502994e-07,-6.243838155e-05,-74.77634889,nan,0,-0.0001112991607,-61.78768954,nan,0,
9.98003992e-07,0.0005382899593,-65.30421837,nan,0,-0.0003086510721,-69.69751851,nan,0,
1.24750499e-06,0.0005822712719,-59.9399121,nan,0,-0.0002309447348,-63.17035713,nan,0,
1.497005988e-06,-0.0001158276796,-64.54040204,nan,0,6.807585736e-06,-65.90052161,nan,0,
1.746506986e-06,-0.0004991046082,-55.63779175,nan,0,0.000110069038,-63.69677899,nan,0,
1.996007984e-06,-0.0002960534216,-68.78712528,nan,0,0.0003550835118,-66.40724493,nan,0,
2.245508982e-06,0.0005980947881,-63.37516386,nan,0,-0.0004107120714,-65.52862394,nan,0,
2.49500998e-06,0.0001760318899,-65.53739291,nan,0,0.0002554115577,-63.3717284,nan,0,
2.744510978e-06,0.0006246197713,-61.75977795,nan,0,-0.0003254869603,-67.63294529,nan,0,
2.994011976e-06,-0.0002814124698,-65.61310417,nan,0,0.0001196230716,-71.20965585,nan,0,
3.243512974e-06,0.0001445756723,-66.99058474,nan,0,-0.0007750125826,-59.19986877,nan,0,
3.493013972e-06,-0.0008257606267,-61.36238812,nan,0,0.0004096585963,-67.64838892,nan,0,
3.74251497e-06,0.0001623958348,-67.647168,nan,0,-0.0004856002569,-64.81894742,nan,0,
3.992015968e-06,-0.0006486277286,-63.26671663,nan,0,0.0002916044429,-66.33447898,nan,0,
4.241516966e-06,0.0003921280146,-67.81814997,nan,0,-0.000703579355,-63.01905458,nan,0,
4.491017964e-06,-0.0004921307915,-64.04081118,nan,0,0.0005579405381,-64.01638941,nan,0,
4.740518962e-06,0.0006257076551,-63.81385246,nan,0,-0.0006282987972,-63.80482713,nan,0,
4.99001996e-06,-0.0005881436251,-64.57685195,nan,0,0.0003980726016,-67.9815698,nan,0,
5.239520958e-06,0.0005044902729,-65.92899138,nan,0,-0.0006266693291,-63.22405444,nan,0,
5.489021956e-06,-0.0005833982938,-64.40615091,nan,0,0.0002979700564,-67.68116842,nan,0,
5.738522954e-06,0.0005573735683,-64.97306942,nan,0,-0.0008650821383,-61.02053654,nan,0,
5.988023952e-06,-0.0006086023939,-64.30827817,nan,0,0.0005005745042,-65.68636843,nan,0,
6.23752495e-06,0.0004068427844,-67.72437693,nan,0,-0.0005017136872,-65.85103248,nan,0,
6.487025948e-06,-0.0006426711909,-63.7082548,nan,0,0.0004250653075,-67.18366932,nan,0,
6.736526946e-06,0.0004771550841,-66.04684479,nan,0,-0.0004275422196,-67.35570419,nan,0,
6.986027944e-06,-0.0004781768737,-65.80913475,nan,0,0.0005881418269,-63.96065892,nan,0,
7.235528942e-06,0.000492795129,-65.20889548,nan,0,-0.0005548327079,-64.41003757,nan,0,
7.48502994e-06,-0.0005642793357,-64.45558417,nan,0,0.0002806215638,-68.71530235,nan,0,
7.734530938e-06,0.0004036382547,-65.9225097,nan,0,-0.0005229915312,-64.53719847,nan,0,
7.984031936e-06,-0.0004018417896,-66.0975482,nan,0,0.0004258447717,-66.15655553,nan,0,
8.233532934e-06,0.0004008313143,-66.59872675,nan,0,-0.0003188338078,-66.98563641,nan,0,
8.483033932e-06,-0.000458069306,-64.47447487,nan,0,0.0003529408078,-66.88570476,nan,0,
8.73253493e-06,0.0003153183846,-67.79235126,nan,0,-0.0003325733956,-67.53601275,nan,0,
8.982035928e-06,-0.0003510257649,-64.59016485,nan,0,0.0002933585381,-66.74976312,nan,0,
9.231536926e-06,0.0003062949997,-67.52823226,nan,0,-0.0002595283105,-66.50146601,nan,0,
9.481037924e-06,-0.0003196291159,-65.38022923,nan,0,0.0002627298702,-67.8801825,nan,0,
9.730538922e-06,0.0001944316377,-67.49963956,nan,0,-0.0002513013547,-66.34218709,nan,0,
9.98003992e-06,-0.0003206574896,-66.21464387,nan,0,0.0001418257772,-66.85103929,nan,0,
1.022954092e-05,0.0001519551327,-65.83028856,nan,0,-0.0001892767594,-70.24914305,nan,0,
1.047904192e-05,-0.0002109605247,-67.78606605,nan,0,0.0001873041197,-66.03491243,nan,0,
1.072854291e-05,0.0001639453576,-66.70131312,nan,0,-1.05765772e-05,-68.1225506,nan,0,
1.097804391e-05,-0.0001332693555,-66.63401646,nan,0,0.0001272105694,-69.67322138,nan,0,
1.122754491e-05,0.0001000688932,-67.71045214,nan,0,-0.0001008086272,-67.82029175,nan,0,
1.147704591e-05,-9.981303676e-05,-67.72934902,nan,0,2.273757587e-05,-68.63619339,nan,0,
1.172654691e-05,5.351275056e-05,-67.43854685,nan,0,-5.773758881e-05,-68.86250748,nan,0,
