Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,0.01071804807,-38.78689916,nan,0,-0.03540353551,-28.71509361,nan,0,
2.49500998e-07,0.002118740286,-47.56980579,nan,0,-0.02132230088,-32.98418667,nan,0,
4.99001996e-07,-7.006568574e-05,-59.38944522,nan,0,-0.004317719574,-46.89746515,nan,0,
7.48502994e-07,0.0001302354782,-72.45008209,nan,0,0.0002453934749,-70.35510238,nan,0,
9.98003992e-07,0.0008872797046,-59.67430755,nan,0,0.0005177082502,-65.38557357,nan,0,
1.24750499e-06,0.0005585041767,-60.35119877,nan,0,0.0003295697431,-63.43087949,nan,0,
1.497005988e-06,0.000451127514,-66.91249261,nan,0,0.0003587386862,-68.61042648,nan,0,
1.746506986e-06,0.000485454933,-63.0385015,nan,0,-0.0002917222727,-67.42166535,nan,0,
1.996007984e-06,-9.058946446e-05,-80.07678232,nan,0,0.0002861621289,-64.52646587,nan,0,
2.245508982e-06,0.0002840220092,-70.53866922,nan,0,-5.63520207e-05,-69.4554038,nan,0,
2.49500998e-06,7.363206396e-05,-75.24108828,nan,0,0.0005531984331,-65.09736545,nan,0,
2.744510978e-06,0.0004034404751,-65.7160024,nan,0,-0.0003800427227,-65.89164382,nan,0,
2.994011976e-06,-0.0001342134613,-75.91526174,nan,0,0.0004030337785,-67.33806457,nan,0,
3.243512974e-06,0.0001488918933,-73.70228087,nan,0,-0.0002174660624,-69.74643865,nan,0,
3.493013972e-06,-0.0005859893162,-64.62137445,nan,0,0.0007677304171,-62.2943915,nan,0,
3.74251497e-06,7.905645469e-05,-79.04130619,nan,0,-0.0003661359702,-68.72572804,nan,0,
3.992015968e-06,-0.0004212991507,-67.50545287,nan,0,0.0004563235191,-66.80053287,nan,0,
4.241516966e-06,0.0003097748496,-70.03475916,nan,0,-0.0003836071647,-67.58814738,nan,0,
4.491017964e-06,-0.000342169975,-68.65415793,nan,0,0.0005879303457,-64.40414287,nan,0,
4.740518962e-06,0.0004933931663,-66.12589409,nan,0,-0.0004465681131,-66.73471758,nan,0,
4.99001996e-06,-0.0004645836087,-66.28842882,nan,0,0.0005802033349,-64.52181583,nan,0,
5.239520958e-06,0.0003604439166,-67.44481269,nan,0,-0.0005283395778,-65.2941152,nan,0,
5.489021956e-06,-0.0004364164872,-66.97662483,nan,0,0.000553013251,-64.00287012,nan,0,
5.738522954e-06,0.000395228519,-66.29728048,nan,0,-0.0001751958213,-69.48527513,nan,0,
5.988023952e-06,-0.0003736553193,-67.87125393,nan,0,0.0005834047125,-64.4491058,nan,0,
6.23752495e-06,0.0002981422875,-67.38166161,nan,0,-0.0004510849446,-64.3351007,nan,0,
6.487025948e-06,-0.0004343049424,-65.68673477,nan,0,0.0004094027228,-65.54964449,nan,0,
6.736526946e-06,0.0002966751979,-66.78682235,nan,0,-0.0003572213614,-66.88578417,nan,0,
6.986027944e-06,-0.0003327003111,-66.42814755,nan,0,0.0003965955491,-64.69794661,nan,0,
7.235528942e-06,0.0003332004465,-65.61401779,nan,0,-0.0003507897907,-65.28634809,nan,0,
7.48502994e-06,-0.0003716658567,-65.4799502,nan,0,0.0003030581957,-64.96845351,nan,0,
7.734530938e-06,0.0002279467602,-64.99182029,nan,0,-0.0002874000715,-65.78983805,nan,0,
7.984031936e-06,-0.0002271713555,-65.50134515,nan,0,0.000254576325,-64.7690072,nan,0,
8.233532934e-06,0.0002022152353,-66.09337414,nan,0,-0.0002060727516,-65.68698234,nan,0,
8.483033932e-06,-0.0002232360127,-64.62276943,nan,0,0.0002166718453,-65.85005791,nan,0,
8.73253493e-06,8.619322046e-05,-66.22595978,nan,0,-0.0001705369967,-64.78001845,nan,0,
8.982035928e-06,-0.0001356872845,-64.4250203,nan,0,0.000116479497,-65.61940999,nan,0,
9.231536926e-06,6.908807824e-05,-66.21566368,nan,0,-9.185510138e-05,-66.21943067,nan,0,
9.481037924e-06,-7.969232695e-05,-64.94141892,nan,0,0.0001089955552,-64.96988448,nan,0,
9.730538922e-06,-2.473184016e-05,-65.37433991,nan,0,-2.640449434e-05,-65.46196525,nan,0,
9.98003992e-06,-4.781984455e-05,-66.00309166,nan,0,6.694816582e-06,-65.68829828,nan,0,
