Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,0.01884992577,-34.48126477,nan,0,-0.03124476784,-29.73354983,nan,0,
2.49500998e-07,0.006556229597,-42.44887848,nan,0,-0.01248327794,-37.01925033,nan,0,
4.99001996e-07,-0.0001807787304,-59.52127439,nan,0,-0.0001528513758,-61.67031983,nan,0,
7.48502994e-07,0.0002708851395,-67.26236864,nan,0,-0.0009197423242,-60.28574261,nan,0,
9.98003992e-07,0.0004174933027,-66.66221753,nan,0,-1.451116184e-05,-65.95909934,nan,0,
1.24750499e-06,-0.0009166185125,-60.5659098,nan,0,0.0004915782489,-65.63574901,nan,0,
1.497005988e-06,-0.002538895562,-51.9044543,nan,0,0.0005952546647,-64.26596851,nan,0,
1.746506986e-06,-0.001507018454,-55.38791352,nan,0,-0.000314972142,-69.45965073,nan,0,
1.996007984e-06,-0.001154854132,-58.71536689,nan,0,5.711686818e-05,-64.67793302,nan,0,
2.245508982e-06,-0.000566819244,-61.31917467,nan,0,2.019433274e-05,-91.44093074,nan,0,
2.49500998e-06,-0.0003492805856,-67.57307701,nan,0,0.0007494258559,-61.09828963,nan,0,
2.744510978e-06,-0.0001381782213,-70.14085447,nan,0,-0.0002251580857,-71.95316585,nan,0,
2.994011976e-06,-0.0002418402958,-70.35708217,nan,0,0.0006134452502,-63.93833813,nan,0,
3.243512974e-06,0.0005060088488,-64.82929215,nan,0,0.0001708519353,-70.91195611,nan,0,
3.493013972e-06,-0.000343852365,-65.49785475,nan,0,0.00101723957,-59.22305043,nan,0,
3.74251497e-06,0.0004044426419,-67.63889863,nan,0,-0.0003515216996,-68.89763744,nan,0,
3.992015968e-06,-0.0002013230089,-73.8471629,nan,0,0.0001415158495,-73.73571758,nan,0,
4.241516966e-06,0.0002899038962,-69.64886363,nan,0,-0.0007831540751,-62.12303854,nan,0,
4.491017964e-06,-0.0002063109091,-73.12245294,nan,0,0.0005335025191,-65.08937913,nan,0,
4.740518962e-06,0.0006991397135,-62.74743672,nan,0,-0.0003937621148,-68.08452577,nan,0,
4.99001996e-06,-0.000333170963,-69.41760014,nan,0,0.0004076354506,-66.80205505,nan,0,
5.239520958e-06,0.000354910386,-67.7546663,nan,0,-0.0004840203388,-64.89330186,nan,0,
5.489021956e-06,-0.0003706913061,-66.2581227,nan,0,0.0004323475646,-67.19747989,nan,0,
5.738522954e-06,0.000334906109,-69.01662745,nan,0,-0.0003854449677,-64.66869049,nan,0,
5.988023952e-06,-0.0004136392807,-66.12494575,nan,0,0.000390118504,-68.0769867,nan,0,
6.23752495e-06,0.0003163288384,-65.89905227,nan,0,-0.0004385987902,-63.60843794,nan,0,
6.487025948e-06,-0.0002273805703,-68.48984292,nan,0,0.0003317181671,-66.47791776,nan,0,
6.736526946e-06,0.0002984128676,-68.63114353,nan,0,-0.0003739263919,-65.66965389,nan,0,
6.986027944e-06,-0.0003373317845,-64.51945081,nan,0,0.000241472741,-66.94909914,nan,0,
7.235528942e-06,0.0003345422466,-66.01232362,nan,0,-0.0003419172908,-65.13645188,nan,0,
7.48502994e-06,-0.0001405772203,-66.44027199,nan,0,0.000293369483,-65.54375357,nan,0,
7.734530938e-06,0.0001440478634,-66.85422923,nan,0,-0.0001696816903,-66.5080382,nan,0,
7.984031936e-06,-0.0003051399318,-65.52643933,nan,0,0.0002658605101,-64.90722275,nan,0,
8.233532934e-06,4.909544811e-05,-65.72346004,nan,0,-0.0002035416132,-66.3193529,nan,0,
8.483033932e-06,-0.0001397266948,-66.37527729,nan,0,7.180084831e-05,-64.57280846,nan,0,
8.73253493e-06,4.645388762e-05,-66.55798035,nan,0,-0.0001331217584,-67.31721842,nan,0,
8.982035928e-06,-8.819114111e-05,-66.61127015,nan,0,6.95239055e-05,-64.8556282,nan,0,
9.231536926e-06,-1.15197765e-05,-65.58635738,nan,0,-2.77652751e-05,-66.84100235,nan,0,
9.481037924e-06,-9.936661684e-05,-66.48111015,nan,0,7.374675365e-05,-66.76447012,nan,0,
9.730538922e-06,-1.949888962e-05,-65.13476135,nan,0,-1.633733348e-06,-65.03234055,nan,0,
9.98003992e-06,9.53645432e-05,-65.45320622,nan,0,-7.411278782e-05,-65.87142367,nan,0,
1.022954092e-05,-6.525445749e-05,-67.35272524,nan,0,-8.466369112e-05,-67.10334559,nan,0,
1.047904192e-05,7.973100912e-05,-64.75281833,nan,0,-0.0001576055168,-64.43441395,nan,0,
1.072854291e-05,-0.000176096203,-66.12115678,nan,0,0.0001412075932,-66.01357623,nan,0,
1.097804391e-05,0.0001648357516,-65.49633917,nan,0,-0.0001217863635,-66.46946451,nan,0,
1.122754491e-05,-0.0002028331226,-65.78451093,nan,0,0.0001442516252,-65.792755,nan,0,
1.147704591e-05,0.0002011215857,-67.1056803,nan,0,-0.0002239026424,-66.08495947,nan,0,
1.172654691e-05,-0.0001957769897,-65.84586681,nan,0,0.0001671336375,-66.48463785,nan,0,
1.19760479e-05,0.0002689070862,-66.09430189,nan,0,-0.000245389409,-65.53808166,nan,0,
1.22255489e-05,-0.0002474686998,-65.26978917,nan,0,0.0002803911487,-66.14445934,nan,0,
1.24750499e-05,0.0003362496344,-65.81845251,nan,0,-0.0002684712984,-66.72877594,nan,0,
1.27245509e-05,-0.0002914675925,-66.16384403,nan,0,0.0002627078477,-66.58736177,nan,0,
1.29740519e-05,0.0003553968326,-65.46971699,nan,0,-0.0003169188527,-65.96519002,nan,0,
1.322355289e-05,-0.000380629512,-65.9574946,nan,0,0.0003270891507,-66.66213637,nan,0,
1.347305389e-05,0.0003457163879,-66.69963457,nan,0,-0.0003199006246,-66.75250585,nan,0,
1.372255489e-05,-0.000361651434,-66.18677944,nan,0,0.0003447705793,-66.36533996,nan,0,
1.397205589e-05,0.0004126257982,-65.69677954,nan,0,-0.0003780666601,-66.37032132,nan,0,
1.422155689e-05,-0.000411232244,-66.35042073,nan,0,0.0003676516385,-66.91397802,nan,0,
1.447105788e-05,0.0003939364212,-66.51816127,nan,0,-0.0003681477652,-66.85572224,nan,0,
1.472055888e-05,-0.0004347933942,-66.02330263,nan,0,0.0004036457958,-66.51366337,nan,0,
1.497005988e-05,0.000443093463,-66.21154117,nan,0,-0.000384099728,-67.24305184,nan,0,
1.521956088e-05,-0.0004415343852,-66.45620858,nan,0,0.0004029195098,-66.80560365,nan,0,
